Sexe,Prénom,Nom,Email,Téléphone,Ville,Domaine,Niveau d'expérience,Formation,Expériences,Langues,Compétences
f,constance,martinez,constance.martinez@dbmail.com,+33 (0)2 57 52 91 69,gomes-la-forêt,marketing,débutant,master - peron mace s.a. (2015),morel s.a.r.l. | responsable marketing | 2019 - 2020 | traore | directeur marketing | 2019 - 2020,français,"communication, analytics, seo, community management, stratégie digitale"
f,céline,torres,céline.torres@dbmail.com,0229423244,jacob,finance & comptabilité,senior,bts - jean riou sarl (2019),vidal | chargé finance & comptabilité | 2022 - 2023 | moreno didier s.a.s. | chargé finance & comptabilité | 2017 - 2019 | lagarde guilbert sa | responsable finance & comptabilité | 2024 - 2024,"chinois, français","comptabilité, audit, gestion de projet"
f,marine,lévy,marine.lévy@voila.fr,0443685760,bruneauville,assistance virtuelle,débutant,bts - hubert (2017),martins | chargé assistance virtuelle | 2023 - 2024 | samson | directeur assistance virtuelle | 2022 - 2023,arabe,"service client, gestion de projets, traitement d'e-mails, gestion d'agenda et de calendriers"
m,alfred,deschamps,alfred.deschamps@gmail.com,+33 3 25 33 88 19,breton,santé,débutant,école de commerce - giraud (2021),voisin | directeur santé | 2019 - 2024,portugais,"gestion de patient, diagnostic, analyse médicale, recherche"
f,claudine,raynaud,claudine.raynaud@yahoo.fr,01 43 65 54 93,briand-sur-bègue,informatique,expert,formation professionnelle - lévêque s.a.r.l. (2013),collin sa | directeur informatique | 2018 - 2021 | michaud sarl | adjoint informatique | 2024 - 2024,"chinois, français","python, cybersécurité, mongodb, linux, tensorflow"
f,martine,cousin,martine.cousin@orange.fr,+33 (0)3 65 54 73 02,morin,commercial,senior,licence - denis (2019),toussaint et fils | adjoint commercial | 2016 - 2017 | loiseau | adjoint commercial | 2020 - 2023 | pierre martin sa | directeur commercial | 2022 - 2024,"espagnol, portugais","négociation, prospection, stratégie commerciale, relation client"
f,joséphine,françois,joséphine.françois@gmail.com,0285788416,ollivier-les-bains,logistique,débutant,dut - fleury (2010),guillon | chargé logistique | 2016 - 2017 | berger | chargé logistique | 2018 - 2019 | berger | responsable logistique | 2022 - 2023,portugais,"règlementations en transport et logistique, gestion de stocks, gestion des fournisseurs, chaîne d'approvisionnement"
f,anastasie,grégoire,anastasie.grégoire@bouygtel.fr,+33 3 72 01 82 43,jean,economie,intermédiaire,master - bouvier (2024),gros | chargé economie | 2023 - 2024,"italien, arabe","politiques monétaires et fiscales, analyse de données économiques, rédaction de rapports économiques, statistiques"
f,alexandrie,dumas,alexandrie.dumas@live.com,+33 5 87 80 64 32,gaillard,santé,expert,master - le goff (2014),bousquet hoareau s.a.r.l. | responsable santé | 2019 - 2019 | paris | chargé santé | 2022 - 2023 | lucas martins s.a.r.l. | directeur santé | 2022 - 2024,"italien, chinois","analyse médicale, gestion de patient, recherche, diagnostic"
m,robert,jourdan,robert.jourdan@live.com,0269128029,pelletierbourg,assistance virtuelle,junior,master - lamy sa (2016),moulin picard et fils | responsable assistance virtuelle | 2017 - 2023,chinois,"gestion d'agenda et de calendriers, traitement d'e-mails, gestion de projets"
f,aurore,buisson,aurore.buisson@live.com,+33 4 56 08 11 35,bodin,finance & comptabilité,intermédiaire,master - philippe sarl (2018),fleury roger s.a. | directeur finance & comptabilité | 2023 - 2024 | caron guilbert s.a. | chargé finance & comptabilité | 2015 - 2020,français,"audit, gestion de projet, comptabilité, analyse financière"
m,michel,besnard,michel.besnard@sfr.fr,+33 3 25 03 21 54,maurice,logistique,intermédiaire,dut - loiseau sarl (2012),colas | adjoint logistique | 2015 - 2018 | breton sa | responsable logistique | 2020 - 2022,espagnol,"règlementations en transport et logistique, gestion des fournisseurs, chaîne d'approvisionnement, gestion de stocks"
f,charlotte,collin,charlotte.collin@wanadoo.fr,05 79 71 12 83,roussel-sur-valette,ressources humaines,débutant,dut - launay s.a.r.l. (2011),blanchard | responsable ressources humaines | 2017 - 2024 | antoine caron s.a. | responsable ressources humaines | 2015 - 2021,"arabe, portugais","gestion d'équipe, recrutement, formation, droit du travail"
m,alexandre,lévêque,alexandre.lévêque@dbmail.com,03 57 53 97 97,lambertville,economie,senior,école d'ingénieur - caron s.a. (2012),lecoq | chargé economie | 2020 - 2021 | delmas | chargé economie | 2022 - 2023,"chinois, anglais, français","statistiques, politiques monétaires et fiscales, analyse de données économiques, rédaction de rapports économiques"
m,victor,le goff,victor.le goff@orange.fr,07 93 34 57 70,dupontville,marketing,junior,dut - sanchez (2021),sauvage | directeur marketing | 2023 - 2024 | blanchet | chargé marketing | 2023 - 2023 | martinez | responsable marketing | 2016 - 2017,"allemand, anglais","seo, analytics, stratégie digitale, community management, communication"
m,william,olivier,william.olivier@noos.fr,+33 (0)3 63 88 78 95,jourdan,communication,débutant,doctorat - collet (2017),labbé leclerc s.a. | directeur communication | 2024 - 2024 | jacob | directeur communication | 2018 - 2019,arabe,"edition de contenu, outils de communication, maîtrise des réseaux sociaux, gestion de crise et communication d'urgence"
m,nicolas,guichard,nicolas.guichard@free.fr,0689800916,blanchardboeuf,logistique,débutant,formation professionnelle - baudry sa (2010),boyer | responsable logistique | 2020 - 2020 | millet | adjoint logistique | 2022 - 2024 | robert | chargé logistique | 2017 - 2024,italien,"gestion des fournisseurs, chaîne d'approvisionnement, gestion de stocks, règlementations en transport et logistique"
f,antoinette,perrin,antoinette.perrin@bouygtel.fr,+33 6 98 88 48 95,laporte,météorologie,expert,doctorat - masson s.a.r.l. (2018),sanchez | directeur météorologie | 2016 - 2016,anglais,"cartes météorologiques, modèles de prévision, logiciels d'analyse climatique"
f,aurélie,lenoir,aurélie.lenoir@free.fr,+33 1 39 43 82 49,thierry-la-forêt,logistique,expert,école de commerce - fischer (2019),arnaud bonnin et fils | adjoint logistique | 2022 - 2023,"arabe, français","gestion de stocks, gestion des fournisseurs, chaîne d'approvisionnement"
m,frédéric,lacroix,frédéric.lacroix@yahoo.fr,+33 (0)2 23 60 77 73,barre,informatique,débutant,bts - regnier s.a.s. (2016),ferreira s.a.r.l. | adjoint informatique | 2019 - 2021,chinois,"machine learning, linux, flutter, reactjs"
f,célina,sanchez,célina.sanchez@tele2.fr,0345934866,carre,design,senior,formation professionnelle - lopes (2010),chauvet s.a.s. | adjoint design | 2017 - 2023 | fischer | chargé design | 2018 - 2022 | pages et fils | adjoint design | 2024 - 2024,"français, anglais, chinois","ui/ux, illustrator, photoshop, design thinking"
f,océane,boulay,océane.boulay@voila.fr,0366595473,masson,logistique,senior,école d'ingénieur - didier mercier et fils (2016),voisin clément et fils | adjoint logistique | 2015 - 2015 | riou rodriguez s.a.s. | chargé logistique | 2022 - 2023 | fleury | directeur logistique | 2023 - 2024,"espagnol, anglais, italien","chaîne d'approvisionnement, règlementations en transport et logistique, gestion des fournisseurs, gestion de stocks"
f,emmanuelle,jacquot,emmanuelle.jacquot@tele2.fr,+33 (0)2 97 43 49 97,vincentville,economie,senior,bts - ruiz letellier et fils (2014),maury | adjoint economie | 2020 - 2022 | gonzalez | chargé economie | 2021 - 2024,allemand,"rédaction de rapports économiques, analyse de données économiques, politiques monétaires et fiscales, statistiques"
f,éléonore,fleury,éléonore.fleury@yahoo.fr,01 56 87 10 04,riou,ressources humaines,senior,école de commerce - rossi (2022),guillou | adjoint ressources humaines | 2017 - 2018,"arabe, italien, allemand","formation, droit du travail, recrutement"
m,gérard,turpin,gérard.turpin@tiscali.fr,+33 2 28 11 04 41,jacquet,communication,expert,licence - lecomte (2013),lesage weber sa | chargé communication | 2015 - 2015 | barbe | responsable communication | 2018 - 2021 | maury sa | directeur communication | 2016 - 2020,anglais,"maîtrise des réseaux sociaux, edition de contenu, gestion de crise et communication d'urgence, outils de communication"
f,célina,blanc,célina.blanc@tiscali.fr,+33 (0)5 47 56 52 58,lemaire-sur-mer,ingénierie,senior,dut - bodin coste s.a.r.l. (2010),petitjean | directeur ingénierie | 2015 - 2024 | hamon | directeur ingénierie | 2016 - 2021 | aubert sarl | directeur ingénierie | 2017 - 2018,"anglais, allemand, français","descentes, robotique, mathématiques"
m,paul,morvan,paul.morvan@wanadoo.fr,+33 (0)1 79 96 13 98,boucher,éducation,intermédiaire,école de commerce - pascal bailly sarl (2019),marin | chargé éducation | 2019 - 2022 | bonnet s.a.r.l. | adjoint éducation | 2021 - 2022,"anglais, allemand","gestion des fournisseurs, gestion de stocks, chaîne d'approvisionnement, règlementations en transport et logistique"
